account,amount
14cvJZqprsQCbPjyMVMhfXLsEBarKhcpQ2XgstqeZZfrXqQz,60000000000
16cdX8YK5g8zG2qj3QQf6HPCDCQjRFu5rnXv7JicH3CGAxzw,180000000000
15BZKVrEaLo7xCUQaJtDpVq3aDNP2LBY9oGc2tUMQ6PdWx1u,100000000000
1CEivNpKU2Jjfg51KyppGjwtGc7RzsTFGpuTLXjTrrkcFoH,340000000000
13bkb5qitSHW6PGLiXurgkBqmh7M4keqAt4w2UzEKzP3wqk6,100000000000
13NRmDsZWWysCvCAVc7J3pT7UKcLq7CY2Sdk4tSDmLV9wyyy,350000000000
12atrSyPTCCxzziAi1vZrmV1SRmTx2i2EiE4BFg3DNPQEGPP,138000000000
14KUFtCwd2QXY8SfxqDjqnUpPEKhGh9ikaj62Q882tKLhZvq,188500000000
12vHJuKRVTu7vKgska2KWC9o6gYGdpm4BhKYj9fFkvYJEqva,1170000000000
12vNJeocowByHmDaK4HQ9DgYEGwiPuqzc8Dvkv99eQwJ1fBf,200000000000
16GJoy5XPXXMBZz1Wefzkm5BXFTFYnMkx6RGgqP7sMP8T5Rb,340000000000
14tboXEepo1GuRvNB6hWpKYfb2LEQ4Hwvt9NMknS5DR38JUg,1000000000000
15b686BVwdYSuRv3NideQdGZhngrTUbBCu5sAzS7bsMt4V2h,1000000000000
13bkTtnXkvB6fKTDf1WGj1Lui5Vgpd4gSQUcLbaDgfWpXxNb,50000000000
1gcmEy4cuQWYCPjKWMjxcikYHontMfLT7gRrAmn6PBXDW6N,53000000000
1248xaWjo3imkQ4R1VJZs7xEwCRyNXDsiDxnS8cjy1PXk6YA,250000000000
15oF8AZa6eYgn3e5evk96GYTDduYctdQSbrVZAqDeEZG4ezu,700000000000
15VPKdEZ2RXqGqQq1i69d1pdEkPmg5Uc7swMY53TZaUKbGCH,50000000000
13pTrLAmHNZXzgKHFAjXaZALzQNRW9UN1v9rBujmnY3YS3Na,4450000000000
1b9v1frzqKmVgjCAZZynXTe9WCF7k97pJLCBJmkuWyP4g9E,727900000000
12TkmcFfPx1ZNp5MtoxCvjag59NWQ7v8mvcbL6sesEaqELHc,126680000000
14NAnTfFwgewkXzwZ6QbEpCsnkj76Bgcy5b5mvngXL7kXv3Z,25000000000000
13nHjTPYBSUiK6QyiAcvEqi2EHLUbYJSNrcfd9Jx5JCiHVv7,50000000000
1EaHhxAfVYgW9z793YCqDSWXi4BoWrvvDHmTYecdVnYUYMv,1075800000000
15rc2DrfSopDnqMi9GCUtekJfQEetQt7mpQBtuVsMwpGB5k2,280000000000
15KurVtacjd72vmwLprp5n7Xf2Dp31VDmsySQ7zNpyiHUCCc,1469600000000
12QyCNwjrRyeHugXwiD9SVzjSfkmxzMD1s7X9NgnvUsxrQff,180000000000
12KsPYoBmsUN6zmhYgf7ihSqQFb2YsEZeKmE4uwcJjG3HS4e,1760000000000
1R42Dxob8DcbzyudXKKAgQVj2NvuSgMtqikC4ouLnRPAWzN,60000000000
1TkL4ZNgnfsbybXhBsthQHdJuxmf8mkUiqnVTaAoXLFyvRZ,50000000000
16fCv76ZyD1h2KU2rUmQsDfXG3cZCFPNW2hoyGqkx7nhaSJN,100000000000
14DwgwdgHbYC8mFzJSkHMsuA95GVTVNm9Z6hgztiQXRYjsH5,1000000000000
13gAqEhHaL3xD6GKxomzckiaZTKQ66gji5LXfXebMsKaMFbw,200000000000
1LLaBt82f1J6d1oewCpitF8aYjAeVrDF9wJgiAWbRgUqxos,50000000000
15FgkKpJ6XwiC5oCi7SrnzYZQ4brBnFLnsKugHGsussCvFzB,502000000000
16fwuesgZtF4AJhUrMe4qUubgdbhMxUz7qKajhRJ58mL4ECV,50000000000
13dxmh66zVgKG2xR8naMXpaCwEwLw4d62eXd3GR8DUUxonLQ,510000000000
14Y6rCgbiQh9PX91muKLvKjo87fDXPhnUorzBrk1CCS4z6mD,258000000000
167YJTjFUQFJT6mZcdrrEyqmaG8dqKyCnPxxU7ut9HdQgfu6,50000000000
16evSrwGiEdGR3ZahPn245yKmMHoXXSo7zJqd7jc328yh44a,191700000000
13KxyWwqnB7fqJkFFips7iTJAfZguFLkpZb6k3gBUCSUVwro,100000000000
1A15CyTuCDoT4Mg7beTWiF3eGcpRQ4wpj86e1BaaSkV5VbY,50000000000
15wj7yhpQRrKKN9NngyaMnP58Z7DnrDUrydvJJLeSdMQ2JAh,100000000000
1TyLJz4Ck21zCZtRFZcro673bALCtatvUi1SJd2AYAdmp2D,950000000000
1epZNCLsRKUyvFKSgcX46RS7kdJepNZwBcejpVwghtE4sqM,50000000000
12X5eZbPUAP1u5BXciFUtz3wjELYAyh1Yq1YccgKvPWHTYkQ,599000000000
123UcmBzAf7wnBEQq7c8YU8xmX96SqaJG9P5MeJvDaSBjJo8,50000000000
1cL7eZRzPeXUmro7cf4NV2HyidptdRPueoYvuTvXhwytmfk,300000000000
13E8SX4yaVKhaxNn9ykBoF6KvpckBUBU5q6GHccL6cupDJRn,150000000000
1bx8AoT9nwizXZhuWB2x6RyspCxq9H9oevCwpAe6Eo19rYd,200000000000
13EPVbA78WbbfWwqMRPCZTNrMXg6v6J6np7sBVMhmJ8F2euc,50000000000
13rMtkgkMHZTsyAXYHQgwHcpX8mHxBkZgoycuYHfS9D9dEFj,223200000000
1LQgbPQK9hAUcTss8EckmPcy5TW7MgJU5GMRw5SgnhEYPDA,50000000000
14GiGWDMkWra9FojEEYyoYWtxi4FGAiaW7tPJX62V4DJRFyD,300000000000
1HijLXcLjgyUnZuscT6RHuPJAfMPmMh6DfgEvCJ63CkPwub,50000000000
